alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,note,page_or_fig,process_step,process极,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极,极_type
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,corrosion,out-of-pile loop tests were performed in order to correlate the thermal/hydraulic and chemical environment of the fuel rods to the corrosion rates of the Zircaloy-4 cladding material,judgement,,,text,,,corrosion rate,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,loop test,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy-4,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,cladding material,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,corrosion,PWR corrosion data also showed that the activation energy corresponding to Zircaloy oxidation by water does not vary under neutron flux compared to out-of-pile conditions,judgement,,,text,,,activation energy,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,PWR corrosion test,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.8,corrosion,the influence of irradiation is either a threshold phenomenon dependent on fast neutron flux or a factor related to the chemical environment,judgement,,,text,,,corrosion behavior,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,corrosion,Different destructive examination techniques to characterize the zirconium oxide morphology and concentration profile in the oxide,judgement,,,text,,,oxide morphology,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,destructive examination,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,corrosion,Different destructive examination techniques to characterize the zirconium oxide morphology and concentration profile in the oxide,judgement,,,text,,,concentration profile,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,destructive examination,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.8,corrosion,diffusion of oxygen ions by anion vacancy mechanism can be represented semi-empirically by Arrhenius laws,judgement,,,text,,,oxygen diffusion coefficient,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.8,corrosion,the basic mechanisms will be represented by cubic correlations in the pretransition state and linear correlations in the post-transition state for low oxide thicknesses,judgement,,,text,,,oxide growth kinetics,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_014_chunk1,oxide layer,,,,,,,
