alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,metric极速_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极速test_type
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,Zircaloy-2 and Zircaloy-4 cladding tubes having an outer diameter of 9.5 mm and a wall thickness of 0.6 mm were manufactured by AB Sandvik Steel.,measurement,,,,text,manufactured,outer diameter,mm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,mm,9.5,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,1.0,,Zircaloy-2 and Zircaloy-4 cladding tubes having an outer diameter of 9.5 mm and a wall thickness of 0.6 mm were manufactured by AB Sandvik Steel.,measurement,,,,text,manufactured,wall thickness,mm,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,mm,0.6,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,density,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,specific_heat,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_conductivity,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,elastoplastic_model,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,thermal_expansion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_creep,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,irradiation_swelling,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
Zircaloy-2,{},,"{'temperature': None, 'pressure': None, 'environment': None, 'strain_rate': None, 'irradiation_dose': None, 'time': None}",a80a48d72777,,corrosion,not_mentioned_in_text,not_available,,,auto_filled_domain_placeholder,text,manufactured,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_017_chunk1,cladding tube,,,,,,
