alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极ge_or_fig
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,high,corrosion,Out-of-reactor corrosion tests in 10.3-MPa steam at temperatures between 490 and $5 3 0 \%$ have been carried out on Zircaloy-2 tube specimens,judgement,,text,,nodular corrosion susceptibility,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,corrosion test,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': '490-530', 'medium': 'steam', 'pressure_MPa': 10.3, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f269cc8a783c,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,tube,,,,,,
Zircaloy-2,{},,"{'temp_C': 577, 'medium': 'vacuum', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': 3, 'atmosphere': 'vacuum'}",4c61cd124b55,high,,all of the specimens for the tests were vacuum annealed at $5 7 7 \mathrm { { \circ } _ { C } }$ for $^ { 3 \mathrm { ~ h ~ } }$,process,,text,vacuum annealing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_021_chunk1,specimens,,,,,,
