alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}","Sn, wt%: 1.40; Fe, wt%: 0.13; Cr, wt%: 0.11; Ni, wt%: 0.06","{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,,TABLE 1—Composilions of Zircaloy-2 and -4.,composition,,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,,Zircaloy-4 as-received shows an increasing magnetic susceptibility with decreasing temperature as though it were a normal paramagnetic substance,judgement,,Results and Discussion,,magnetic susceptibility,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,magnetic measurement,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,,"the value of magnetic susceptibility for Zircaloy-4 as-received has an order of magnitude of 10^-6/mol, while the observed value is 10^-4/mol",property,,Results and Discussion,,magnetic susceptibility,mol^-1,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,magnetic measurement,mol^-1,0.0001,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
Zircaloy-2,"{'Sn': {'value': 1.4, 'unit': 'wt%'}, 'Fe': {'value': 0.13, 'unit': 'wt%'}, 'Cr': {'value': 0.11, 'unit': 'wt%'}, 'Ni': {'value': 0.06, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,Table 1,"heated at 1030 to 1050°C for β-quench, annealed at 700°C for 2 h, and further annealed at 480°C for 2 h in vacuum",,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_033_chunk1,as-received,,,,,,
