alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,evidence极,metric_type,metric极,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极 step
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",Sn: 1.22-1.54%,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,,"A cold-worked, stressrelieved (CwSR) commercial cladding was produced using similar thermo-mechanical processing encompassing tin contents ranging from 1.22 to 1.54%",,composition_range,,,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,corrosion,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.22, 'value_max': 1.54, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,thermo-mechanical processing,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,"cold-worked, stress-relieved",,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,"Thermal creep testing, tension testing, contractile strain ratio (CSR) testing, and texture analysis were preformed over the range of tin contents",,test_type,,,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,thermal creep testing,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,elastoplastic_model,tension testing,,test_type,,,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,tension testing,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,The creep strength of Zircaloy-4 was strongly dependent on the tin content over the allowable composition range,,judgement,,,text,,creep strength,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,creep testing,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,The stress dependence and thermal activation energy were insensitive to alloy content,,judgement,,,text,,stress dependence,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,creep testing,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,elastoplastic_model,the change in the creep anisotropy was due to a change in the predominant slip system from a predominantly basal slip at high tin contents to a mixed basal-prism slip at low tin contents,,judgement,,,text,,slip system,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,creep testing,,,,,
Zircaloy-4,"{'Sn': {'value_min': 1.2, 'value_max': 1.7, 'unit': 'wt%'}}",Sn: 1.20-1.70%,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,,The ASTM Specification for Wrought Zirconium and Zirconium Alloy Seamless and Welded Tubes for Nuclear Service (B 353) has a tin content range of 1.20 to 1.70%,,composition_range,,,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,corrosion,not_mentioned_in_text,,not_available,,auto_filled_domain_placeholder,text,,,,STP1023-EB-Zirconium in the Nuclear Industry_8th Volume_040_chunk1,,,,,,,
