alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_ffig,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min,极值
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",Sn composition close to 1.5%,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,,The material used in this study was Zircaloy-4 (per ASTM B 353) with two tin populations: one with Sn composition close to 1.5% and the other close to 1.3%.,judgement,,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,,The dimensions varied from 18 to 6 mm outside diameter and from 1.2 to 0.4 mm wall thickness.,range,,,text,,outside diameter,mm,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,mm,,18.0,6.0,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,,The dimensions varied from 18 to 6 mm outside diameter and from 1.2 to 0.4 mm wall thickness.,range,,,text,,wall thickness,mm,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,mm,,1.2,0.4,
Zircaloy-4,,,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.8,,Particular models have allowed for the projection of some parameters up to 500°C.,judgement,,,text,,,°C,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,°C,,500.0,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
Zircaloy-4,"{'Sn': {'value': 1.5, 'unit': 'wt%'}}",,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,,text,,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_007_chunk1,,,,,,,
