alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,metric极,note,page_or_fig,page_or_f极,process_step,property_name,raw_unit,source_id,source极,specimen_state,test_type,unit,value,value_max,value_min,极alue
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,high,hardening,"The Q-values of the last three passes, along with the corresponding CSR values of stress relief annealed (465°C/870°F) Zircaloy-4 tubing",measurement,,,text,,stress relief annealed,annealing temperature,°C,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,annealing,°C,465.0,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,irradiation_creep,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,irradiation_swelling,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 465.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",6dfa7a479e3c,,corrosion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,stress relief annealed,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,high,hardening,"Between pilger passes. these materials were given routine cleaning. pickling, and recrystallization anneals at 677°C (1250°F)",measurement,,,text,,recrystallization anneal,annealing temperature,°C,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,annealing,°C,677.0,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,,density,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,recrystallization anneal,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,,specific_heat,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,recrystallization anneal,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,,thermal_conductivity,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,recrystallization anneal,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,,elastoplastic_model,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,recrystallization anneal,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
Zircaloy-4,{},"{'temp_C': 677.0, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",8291f529866f,,thermal_expansion,not_mentioned_in_text,not_available,,auto_filled_domain_placeholder,text,,recrystallization anneal,,,STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_008_chunk1,,tubing,,,,,,
