文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,ABSTRACT,Corrosion tests were performed in $6 \bar { 3 } 3 ~ \mathrm { K }$ water and $6 7 3 \mathrm { ~ K ~ }$ steam for a total of $7 2 0 0 \ \mathrm { h }$,zirconium-based alloys,,,corrosion test,,,,,,,,,,,,,,,,,,360,water,,,,,7200,,,,,,,,,,,,,,,,7200,h,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,ABSTRACT,Corrosion tests were performed in $6 \bar { 3 } 3 ~ \mathrm { K }$ water and $6 7 3 \mathrm { ~ K ~ }$ steam for a total of $7 2 0 0 \ \mathrm { h }$,zirconium-based alloys,,,corrosion test,,,,,,,,,,,,,,,,,,400,steam,,,,,7200,,,,,,,,,,,,,,,,7200,h,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,ABSTRACT,Zircaloy-type alloys showed typical corrosion behavior with a rate transition,Zircaloy-type alloys,,,corrosion test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,typical with a rate transition,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,ABSTRACT,Iron increased the post-transition corrosion rate in $6 7 3 \mathrm { ~ K ~ }$ steam,Zircaloy-type alloys,,,corrosion test,,,,,,,,,,,,,,,,,,400,steam,,,,,,,,,,,,,,,,,,,,,increased by iron,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,Materials,"About 70 small ingots, weighing $2 0 0 { \bf g }$ each, were melted by non-consumable arc melting",,ingot,melting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,Materials,"Subsequently, $1 . 8 \mathrm { m m }$ thick sheet specimens were produced from these small ingots by hot rolling, cold rolling, and annealing (Table 1)",,sheet,"hot rolling, cold rolling, annealing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk1,Testing,Uniform corrosion properties were studied using autoclave furnaces made of stainless steel in both static conditions with water at $6 3 3 \mathrm { K }$ and high pressure steam at $6 7 3 \mathrm { K }$,zirconium-based alloys,,,corrosion test,,,,,,,,,,,,,,,,,,360,water,,,,,,,,,,,,,,,,,,,,,water,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk2,Table,Sample No. 2; A^{: 0.74; W.(i./mg dm 2: 32.6; Time/h: 3210,,,,Corrosion test,,"{'value': 0.6, 'unit': 'wt%'}",,"{'value': 0.12, 'unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%'}","{'value': 0.055, 'unit': 'wt%'}",,,,,,,,,,,,360,,,,,,3210,,,,,,,,,,,,,,,,32.6,mg/dm²,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk2,Table,Sample No. 2; A*: 0.32; A'*: 0.47; W.G./mg dm : 33.7; Time/h: 910,,,,Corrosion test,,"{'value': 0.6, 'unit': 'wt%'}",,"{'value': 0.12, 'unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%'}","{'value': 0.055, 'unit': 'wt%'}",,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,0.32,,,
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_026_chunk2,Table,Sample No. 2; A*: 0.32; A'*: 0.47; W.G./mg dm : 33.7; Time/h: 910,,,,Corrosion test,,"{'value': 0.6, 'unit': 'wt%'}",,"{'value': 0.12, 'unit': 'wt%'}","{'value': 0.1, 'unit': 'wt%'}","{'value': 0.055, 'unit': 'wt%'}",,,,,,,,,,,,400,,,,,,910,,,,,,,,,,,,,,,,0.47,,,
