alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,hardening,Hydride Characterization in Irradiated Zirconium Alloys,judgement,,xvii,,Hydride Characterization,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zr Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,corrosion,Contribution of the Beta Flux to Corrosion Enhancement of Zr Alloys Under Irradiation,judgement,,xvii,,Corrosion Enhancement,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,corrosion,Influence of Irradiation on Iodine Stress Corrosion Cracking Behavior of Zircaloy-4,judgement,,xvii,,Iodine Stress Corrosion Cracking Behavior,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zirconium Alloys,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,irradiated,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,corrosion,Evaluation of Oxide Layer Thickness on Zircaloy-4 Tube by Electrochemical Impedance Spectroscopy,judgement,,xvii,,Oxide Layer Thickness,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,Electrochemical Impedance Spectroscopy,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-4,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tube,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,corrosion,"Correlation Study Among Corrosion Properties, Microstructure, and Additional Heat Input History of Zircaloy-2 Tubing",judgement,,xvii,,Corrosion Properties,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,0.9,hardening,"Correlation Study Among Corrosion Properties, Microstructure, and Additional Heat Input History of Zircaloy-2 Tubing",judgement,,xvii,,Microstructure,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
Zircaloy-2,{},"{'temperature': None, 'medium': None, 'dose': None, 'stress': None}",3183c9172831,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,xvii,,,,STP1245-EB-Zirconium in the Nuclear Industry_10th Volume_004_chunk1,tubing,,,,,
