文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,text,Basal (0002) and prism {1010} pole figures for Zircaloy-2 tubing produced by different fabrication methods were determined after extrusion and final reduction on several layers of the tube wal.,Zircaloy-2,tubing,"extrusion, final reduction",texture measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,significant,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,text,"The ingot analysis gave an average chemical composition (weight percentage) over the bar length of 1.6 Sn, 0.14 Fe, 0.085 Cr, and 0.05 Ni",Zircaloy-2,forged bar,ingot analysis,chemical analysis,,"{'value': 1.6, 'unit': 'wt%'}",,"{'value': 0.14, 'unit': 'wt%'}","{'value': 0.085, 'unit': 'wt%'}","{'value': 0.05, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,text,The forged bar was extruded to 76-mm outside diameter at 760 C,Zircaloy-2,forged bar,extrusion,processing,,,,,,,,,,,,,,,,,,760.0,,,,,,,,,,,,,,760.0,°C,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,Table 1,Tube 9C R in % 97,Zircaloy-2,tube 9C,extrusion,processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,Table 1,Tube 10C R in % 97,Zircaloy-2,tube 10C,extrusion,processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk1,Table 1,Tube 11C R in % 97,Zircaloy-2,tube 11C,extrusion,processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,%,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk2,Fig. 4,Material with a still higher ratio of wall-to-diameter reduction (11C) gives qualitatively the same texture (Fig. 4) as 10C.,,extrusion 11C,extrusion,pole figure measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0–11.0,times random,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk2,text,The results vary from $\psi = \pm 4 0$ to 90 deg for different processing conditions.,,extruded tube,extrusion,pole figure measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0–90.0,°,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk3,Fig. 5,"For the ball-swaged tube with a high ratio of wall-to-diameter reduction (Fig. 5), the basal-plane pole figure as well as the prism-plane pole figure are slightly asymmetric. The single basal maximum of $1 3 . 3 \ \times$ random is tilted from the RD toward the TD at an angle of $\psi = + 9$ deg.",,ball-swaged tube,ball-swaging,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,times random,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk3,Fig. 6,"For the tube-reduced material with medium ratio of wall-to-diameter reduction (Fig. 6) basal- and prism-plane pole figures are asymmetric as in tube 9W. However, here are two (0002) maxima.",,tube-reduced material,tube-reducing,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk3,Fig. 7,"the preferred position of basal poles is split at an angle of about $\pm 5 5$ deg toward the TD, when $R _ { D }$ is dominant. The maximum intensity is about $8 . 5 ~ \times$ random.",,,tube-reducing with dominant RD,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,°,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk3,Fig. 8,"For the ball swaged tube, 9W (Fig. 8), processed with high $R _ { W }$ , the (0002) plane pole figures taken on foils in steps of $0 . 0 5 \mathrm { m m }$ through the wall thickness vary markedly.",,tube 9W,ball-swaging with high RW,texture analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-28–-22,°,,,,,,,,,,
STP458-EB-Zirconium in the Nuclear Industry_1st Volume_007_chunk4,Conclusions,This does not appear in tube reducing with predominant reduction in diameter,,tube,reduction in diameter,texture measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
