alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,0.9,hardening,The investigation showed that the strength of the Zircaloy-2 decreased by 50 percent between room temperature and 400 C,judgement,,abstract,,strength,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 20, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",663efc054e85,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
Zircaloy-2,{},,"{'temp_C': 400, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",c938f851b1d1,0.9,hardening,The investigation showed that the strength of the Zircaloy-2 decreased by 50 percent between room temperature and 400 C,judgement,,abstract,,strength,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_009_chunk1,hydrided,,,,,
