alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.9,hardening,Zircaloy-4 reactor-grade tubing is usually straightened using cross-roll pressure-flex machines of the Macintosh-Hemphill type,judgement,,text,straightening,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,,,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.9,elastoplastic_model,significant residual stresses are created by the small heterogeneous deformations associated with straightening,judgement,,text,straightening,residual stress,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,,,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.95,elastoplastic_model,A lot of Zircaloy-4 tubing was drawn to a final size of 0.425-in. diameter by 0.025-in. wall thickness,measurement,,text,drawing,diameter,in,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,mm,10.795,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.95,elastoplastic_model,A lot of Zircaloy-4 tubing was drawn to a final size of 0.425-in. diameter by 0.025-in. wall thickness,measurement,,text,drawing,wall thickness,in,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,mm,0.635,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.9,elastoplastic_model,plug-drawing residual stresses have been reduced to about 6000 psi in tension over a broad band between the inside and outside diameters,measurement,,text,stress-relieving,residual stress,psi,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,residual stress measurement,MPa,41.37,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.9,elastoplastic_model,"a significant tensile hoop stress (20,000 psi), was developed in the outside-diameter half of the tube wall as a result of straightening",measurement,,text,straightening,hoop stress,psi,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,residual stress measurement,MPa,137.9,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.9,corrosion,hydrides have a strong radial alignment corresponding to the region under tensile stress,judgement,,text,hydriding,hydride orientation,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,metallography,,,,
ZR-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.95,elastoplastic_model,Tubing size: 0.426×0.026W,measurement,,Fig. 1,,diameter,in,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,mm,10.8204,,
ZR-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,0.95,elastoplastic_model,Tubing size: 0.426×0.026W,measurement,,Fig. 1,,wall thickness,in,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,mm,0.6604,,
Zircaloy-4,{},"{'temperature': None, 'pressure': None, 'time': None, 'environment': None, 'strain_rate': None, 'fluence': None}",d9ae72a8e882,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,straightening,,,STP458-EB-Zirconium in the Nuclear Industry_1st Volume_028_chunk1,tubing,,,,,
