alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,hardening,"When the $\varrho$ factor of the rolling step is above one, the ""local $Q$ factor"" at the inner parts of the tube is higher than at the outer parts, leading to a somewhat higher tendency to radial basal pole orientation in the inner part of the tube.",judgement,,1,pilgering,local Q factor,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,hardening,"When the $\varrho$ factor of the rolling step is above one, the ""local $Q$ factor"" at the inner parts of the tube is higher than at the outer parts, leading to a somewhat higher tendency to radial basal pole orientation in the inner part of the tube.",judgement,,1,pilgering,radial basal pole orientation tendency,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.9,hardening,"each set of pilgering tools will have an optimum feeding rate, but the $P$ factor is not altered by reasonable changes in feed rate.",judgement,,1,pilgering,P factor,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,1,pilgering,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,pilgered cladding tubes,,,,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,hardening,Reduction No. I has a wall reduction of 20 percent and an average diameter reduction of 10 percent and hence a $Q$ of 2.,measurement,,1,reduction,wall reduction,percent,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,tube,tube reduction,%,20.0,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,hardening,Reduction No. I has a wall reduction of 20 percent and an average diameter reduction of 10 percent and hence a $Q$ of 2.,measurement,,1,reduction,average diameter reduction,percent,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,tube,tube reduction,%,10.0,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,hardening,Reduction No. I has a wall reduction of 20 percent and an average diameter reduction of 10 percent and hence a $Q$ of 2.,measurement,,1,reduction,Q factor,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,tube,tube reduction,,2.0,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,hardening,Reduction No. 2 has a wall reduction of 60 percent and an average diameter reduction of 30 percent and hence also a $Q$ of 2.,measurement,,1,reduction,wall reduction,percent,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,tube,tube reduction,%,60.0,,
Zircaloy,{},"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,0.95,hardening,Reduction No. 2 has a wall reduction of 60 percent and an average diameter reduction of 30 percent and hence also a $Q$ of 2.,measurement,,1,reduction,average diameter reduction,percent,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_018_chunk1,tube,tube reduction,%,30.0,,
