alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,1.0,irradiation_creep,"In-reactor stress-relaxation tests were done on zirconium alloys with different compositions, grain sizes, heat-tratments, cold-work, and specimen stress directions at $5 6 8 \pm 5 \mathrm { ~ K ~ }$ in a fast neutron flux $( \mathbf { E } > \mathsf { I } \ \mathbf { M } \mathbf { e } \mathbf { V } )$ of $2 . 0 \times 1 0 ^ { 1 7 }$ neutrons $( \boldsymbol { \mathsf { n } } ) / \mathsf { m } ^ { 2 } \boldsymbol { \mathsf { s } } ,$ for up to $8 2 0 0 \ \mathrm { h }$ with initial stresses up to $3 0 0 \ \mathsf { M P a }$",measurement,,abstract,,test conditions,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,in-reactor stress-relaxation,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': 568, 'medium': 'fast neutron flux', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 2e+17, 'time_h': 8200, 'atmosphere': None}",f134f4f967f2,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,initial stresses up to $3 0 0 \ \mathsf { M P a }$,measurement,,abstract,,initial stress,MPa,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,in-reactor stress-relaxation,MPa,,300,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,"The effects of the metallurgical variables on the in-reactor stress relaxation of zirconium alloys is small. Variations in composition and heat-treatments change the relaxation rate constant by factors of 2 to 4, while variatons due to cold-work and working direction change the constant by factors of up to 2.",judgement,,abstract,,relaxation rate constant variation,factor,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,in-reactor stress-relaxation,factor,,4,2
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,Stress-relieving (or aging) following cold-work decreases the initial stress drop.,judgement,,abstract,"stress-relieving, aging",initial stress drop,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,in-reactor stress-relaxation,,,,
,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,"The beam specimens, measuring 0.76- mm thick by $3 . 8 \mathrm { - } \mathsf { m m }$ wide by either 76 or $1 0 2 \mathrm { - m m }$ long",measurement,,text,,specimen dimensions,mm,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,bent-beam stress-relaxation,mm,,,
,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,predetermined maximum outer fiber stresses from 26 to $3 0 0 \ \mathbf { M P a }$,measurement,,text,,outer fiber stress,MPa,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,bent-beam stress-relaxation,MPa,,300,26
,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,1.0,irradiation_creep,"The average fast neutron flux, calculated from the power of surrounding fuel rods[7], was $( 2 . 0 \pm 0 . 4 ) \times 1 0 ^ { 1 7 }$ neutrons $( \boldsymbol { \mathrm { n } } ) / \mathrm { m } ^ { 2 } \boldsymbol { \mathrm { s } } \left( \boldsymbol { \mathrm { E } } > \mathrm { ~ } | \mathrm { ~ } \mathbf { M e V } \right)$",measurement,,text,,fast neutron flux,n/m²·s,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,irradiation,n/m²·s,2e+17,2.4e+17,1.6e+17
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
zirconium alloys,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,1.0,irradiation_creep,The specimens were irradiated in the NRU test reactor in pressurized flowing water at $5 6 8 \pm 5 \mathrm { ~ K ~ }$ and $1 0 \ \mathrm { M P a }$,measurement,,text,,irradiation conditions,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,irradiation,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
,{},,"{'temp_C': 568, 'medium': 'pressurized flowing water', 'pressure_MPa': 10, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",b342351e8c7f,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,text,,,,STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_025_chunk1,,,,,,
