文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,abstract,post-transition oxide films grown in oxygen at 600°C on Zircaloy-2,Zircaloy-2,oxide film,oxidation,,,,,,,,,,,,,,,,,,,600,oxygen,,,,,,oxygen,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,abstract,films contain important amounts of very fine porosity which is interconnected to the exterior surface,Zircaloy-2,oxide film,post-transition oxidation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,experimental,Specimens for impedance and pore volume measurements were prepared from annealed Zircaloy-2 strip ~0.076 cm (0.030 in.) thick,Zircaloy-2,annealed strip,annealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,experimental,Pickling removed about 0.004 to 0.006 cm (1.5 to 2.5 mils) per surface,Zircaloy-2,strip,pickling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,experimental,Transmission electron microscopy was performed on a Zircaloy-2 rod specimen of 1/16 in. diameter,Zircaloy-2,rod,,transmission electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,experimental,All specimens were oxidized at 600°C in flowing oxygen gas at 1 atm pressure,Zircaloy-2,specimen,oxidation,,,,,,,,,,,,,,,,,,,600,oxygen,0.101325,,,,,oxygen,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk1,table 1,Sn 1.46,Zircaloy-2,strip,,,,"{'value': 1.46, 'unit': 'wt%'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,"Four different electrolytes were used (1 M H2SO4, 4 M H2SO4, 1 M NH4NO3, and 1.2 M HNO3)",,,,impedance measurement,,,,,,,,,,,,,,,,,,,1 M NH4NO3,,,,,,,,,,,,,,,,,,,,,1 M NH4NO3,M,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,"Four different electrolytes were used (1 M H2SO4, 4 M H2SO4, 1 M NH4NO3, and 1.2 M HNO3)",,,,impedance measurement,,,,,,,,,,,,,,,,,,,1.2 M HNO3,,,,,,,,,,,,,,,,,,,,,1.2 M HNO3,M,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,oxidized to a weight gain of 1035 mg/dm2,,oxidized,oxidation,weight gain measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035,mg/dm²,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,Fig. 1,Nitrogen adsorption and desorption isotherms at 77 K,,oxidized,,adsorption/desorption isotherm,,,,,,,,,,,,,,,,,,-196,nitrogen,,,,,,,,,,,,,,,,,,,,,77,K,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,monolayer thickness of 3.54 Å (0.354 nm),,,,adsorption measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354,nm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,surface tension of 8.72 dynes/cm,,,,physical property,,,,,,,,,,,,,,,,,,-196,liquid nitrogen,,,,,,,,,,,,,,,,,,,,,8.72,N/m,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk2,text,saturation pressure corresponding to the specimen temperature may be as much as ~20 mm above the apparent saturation pressure,,,,pressure measurement,,,,,,,,,,,,,,,,,,-196,nitrogen,,,,,,,,,,,,,,,,,,,,,20,Pa,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk3,text,pores in the radius range 18 to 28 Å (1.8 to 2.8 nm),,oxide,oxidation,pore analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8–2.8,nm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk3,Fig. 7,equivalent series capacitance measured in 1 M H₂SO₄ for a series of oxide films,,oxide,oxidation,impedance measurement,,,,,,,,,,,,,,,,,,,1 M H₂SO₄,,,,,,,,,,,,,,,,,,,,,37.0,mg/dm²,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,Fig. 7,pre-transition oxides grown at 600°C are quite impermeable based on the relatively low capacity values and small frequency dependence,Zircaloy,pickled,oxidation,capacitance measurement,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,1.3,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,Fig. 7,the barrier layer thickness is found to be about 0.14μm,Zircaloy,pickled,oxidation,capacitance measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,μm,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,Fig. 9,Values of D obtained for the specimen oxidized to 832 mg/dm² are shown in Fig. 9 for three different electrolytes,Zircaloy,oxidized,oxidation,impedance measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,mg/dm²,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,text,measured resistivity ratios are 1M NH₄NO₃ : 1M H₂SO₄ : 4M H₂SO₄ = 7.4 : 2.1 : 1,,,,resistivity measurement,,,,,,,,,,,,,,,,,,,"1M NH₄NO₃, 1M H₂SO₄, 4M H₂SO₄",,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,text,"The specimen oxidized to 94 mg/dm² was measured first in 1M NH₄NO₃, then in 1M H₂SO₄, and again in 1M NH₄NO₃",Zircaloy,oxidized,oxidation,capacitance measurement,,,,,,,,,,,,,,,,,,,"1M NH₄NO₃, 1M H₂SO₄",,,,,,,,,,,,,,,,,,,,,94,mg/dm²,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,text,Experiments with a 1.2M HNO₃ electrolyte were consistent with the results for NH₄NO₃,Zircaloy,oxidized,oxidation,capacitance measurement,,,,,,,,,,,,,,,,,,,1.2M HNO₃,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk4,text,nitrate electrolytes are not satisfactory for this purpose,Zircaloy,oxidized,oxidation,capacitance measurement,,,,,,,,,,,,,,,,,,,nitrate electrolytes,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk5,text,post-transition oxide films grown on Zircaloy-2 at 600°C contain important amounts of very fine porosity which is interconnected to the exterior surface,Zircaloy-2,oxide film,oxidation,"capillary condensation, transmission electron microscopy",,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,
STP551-EB-Zirconium in the Nuclear Industry_2nd Volume_038_chunk5,text,"the oxide film at some distance from the metal has a fine, columnar structure",Zircaloy-2,oxide film,oxidation,transmission electron microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,nm,,
