alloy_name,composition,composition_raw,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,thermal_expansion,The U.S. Atomic Energy Commission (AEC) Acceptance Criteria for Emergency Core Cooling Systems stipulated conservative positions with respect to the transient temperature limits of Zircaloy,judgement,,5-23,,temperature limits,°C,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,transient temperature,°C,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,corrosion,programs were initiated to obtain the desired information. The results of U.S. Nuclear Regulatory Commission (NRC) sponsored new research on Zircaloy oxidation kinetics,judgement,,5-23,,oxidation kinetics,mm/y,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,oxidation kinetics,mm/y,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,thermal_expansion,expansion and rupture,judgement,,5-23,,expansion and rupture behavior,1/K,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,expansion and rupture,1/K,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,high,irradiation_creep,transient radiation damage annealing,judgement,,5-23,,radiation damage annealing,dpa,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,radiation damage annealing,dpa,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
Zircaloy,{},,"{'temp_C': None, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",fca52774e62a,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,5-23,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_003_chunk1,,,,,,
