文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,压力(MPa),应变率(s-1),辐照剂量(dpa),通量,时间(h),气氛,密度数据,密度单位,比热容数据,比热容单位,热传导率数据,热传导率单位,弹塑性模型数据,弹塑性模型单位,热膨胀数据,热膨胀单位,辐照蠕变数据,辐照蠕变单位,辐照肿胀数据,辐照肿胀单位,腐蚀数据,腐蚀单位,硬化性能数据数据,硬化性能数据单位
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk1,text,Commercially produced $\mathbf { Z } \mathbf { r } { - } 2 . 5 \mathbf { N } \mathbf { b }$ fuel cladding was biaxially creep tested in and out-reactor,Zr-2.5Nb,fuel cladding,,creep test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,MPa,,,10,times,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk1,text,steady-state hoop-creep rate at temperatures between 300 and $5 0 0 ^ { \circ } \mathrm { C }$,Zr-2.5Nb,fuel cladding,,creep test,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk1,text,steady-state hoop-creep rate at temperatures between 300 and $5 0 0 ^ { \circ } \mathrm { C }$,Zr-2.5Nb,fuel cladding,,creep test,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk1,text,little effect of a fast neutron flux of $5 \ \times \ 1 0 ^ { 1 7 }$ neutrons $( \mathbf { n } ) / \mathbf { m } ^ { 2 } / \mathbf { s }$ on creep rate at $4 0 0 ^ { \circ } \mathrm { C }$ and above,Zr-2.5Nb,fuel cladding,,creep test,,,,,,,,,,,,,,,,,,400,,,,,5e+17,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk1,text,enhancement of about two in the creep rate at $3 2 0 \textdegree C$,Zr-2.5Nb,fuel cladding,,creep test,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,,,2,factor,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk2,text,an approximate value of $1 8 5 \mathrm { ~ k J / m o l }$ is suggested,Zr-2.5Nb,fuel cladding,,in-reactor creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,J/mol,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk2,text,"In out-reactor experiments at temperatures up to $4 0 0 ^ { \circ } \mathbf { C } ,$ no growth occurred.",,,,out-reactor growth,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk2,text,"Under irradiation, however, axial growth decreased with temperature.",,,irradiation,in-reactor growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,The out-reactor data at high stresses gave an activation energy of 265 kJ/mol and a stress dependence of 5.3.,Zr-2.5Nb,fuel cladding,,creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.0,J/mol,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,at 400°C there is virtually no effect,Zr-2.5Nb,fuel cladding,,creep,,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,,,,1,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,The creep rate enhancement is generally proportional to flux to a power between 0.5 and 1.0.,,,,creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5–1.0,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,When this is done for 330°C and a flux of 5×10¹⁷ n/m²/s an enhancement of a factor of two is indicated.,Zr-2.5Nb,fuel cladding,,creep,,,,,,,,,,,,,,,,,,330.0,,,,,5e+17,,,,,,,,,,,,,2,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,"In cold worked Zircaloy-2, a ten-fold enhancement of the creep rate has been reported",Zircaloy-2,cold worked,cold worked,creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk3,text,"at 350°C, the creep rate in the direction of maximum basal pole intensity was 2.5 times lower than at right angles to it",Zircaloy-2,annealed,annealed,creep,,,,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,,,,0.4,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,text,The axial growth rate (zero stress) at a fast neutron flux of about $5 ~ \times$ $1 0 ^ { 1 7 } \mathrm { n / m } ^ { 2 } / s$ was found to decrease from about $6 \times 1 0 ^ { - 7 } / \mathrm { h }$ at $3 2 0 ^ { \circ } \mathrm { C }$ to a minimum of $2 . 5 \times 1 0 ^ { - 7 } / \mathrm { h }$ at $4 0 0 ^ { \circ } C$,,,,growth,,,,,,,,,,,,,,,,,,320,,,,,5e+17,,,,,,,,,,,,,,,–,/h,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,text,The axial growth rate (zero stress) at a fast neutron flux of about $5 ~ \times$ $1 0 ^ { 1 7 } \mathrm { n / m } ^ { 2 } / s$ was found to decrease from about $6 \times 1 0 ^ { - 7 } / \mathrm { h }$ at $3 2 0 ^ { \circ } \mathrm { C }$ to a minimum of $2 . 5 \times 1 0 ^ { - 7 } / \mathrm { h }$ at $4 0 0 ^ { \circ } C$,,,,growth,,,,,,,,,,,,,,,,,,400,,,,,5e+17,,,,,,,,,,,,,,,–,/h,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,text,unexpectedly to increase to $3 ~ \times ~ 1 0 ^ { - 6 / \mathrm { h } }$ at $4 9 0 ^ { \circ } \mathrm { C } .$,,,,growth,,,,,,,,,,,,,,,,,,490,,,,,5e+17,,,,,,,,,,,,,,,–,/h,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,Table 2,"0.08, 4, 5 × 10-6, 450, 170, Test",,0.45-mm-thick fuel cladding,,growth,,,,,,,,,,,,,,,,,,450,,,,,,170,,,,,,,,,,,,,,–,%,–,μm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,Table 2,"0.058, 3 to 4, 1.5, 450, 400, air creep rig argon purge",,0.45-mm-thick fuel cladding,,growth,,,,,,,,,,,,,,,,,,450,,,,,,400,argon purge,,,,,,,,,,,,,–,%,3–4,μm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk4,Table 2,"0.8, 30, 1.8, 500, 500, air",,0.45-mm-thick fuel cladding,,growth,,,,,,,,,,,,,,,,,,500,,,,,,500,air,,,,,,,,,,,,,–,%,–,μm,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk5,abstract,"annealed Zircaloy-2, cold-worked Zircaloy-2 and cold-worked $\mathbf { Z } \mathbf { r } \mathbf { - } 2 . 5 \mathbf { N } \mathbf { b }$ pressure tube material",Zircaloy-2,annealed,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk5,abstract,"annealed Zircaloy-2, cold-worked Zircaloy-2 and cold-worked $\mathbf { Z } \mathbf { r } \mathbf { - } 2 . 5 \mathbf { N } \mathbf { b }$ pressure tube material",Zircaloy-2,cold-worked,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_029_chunk5,abstract,"Thin films were taken from material deformed in the NRU, NRX and Pickering-3 reactors at temperatures of 530 to $6 0 0 \textbf { K }$",,,,irradiation creep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530–600,K,,,,,,
