alloy_name,composition,conditions,conditions_hash,confidence,domain,evidence_span,metric_type,note,page_or_fig,process_step,property_name,raw_unit,source_id,specimen_state,test_type,unit,value,value_max,value_min
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,1.0,corrosion,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,condition,,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,localized ductility test,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ebff2860c9a1,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,1.0,corrosion,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,condition,,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,localized ductility test,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 350, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': None}",ab637fbfaba0,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,1.0,irradiation_swelling,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,condition,,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,localized ductility test,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.26e+21, 'time_h': None, 'atmosphere': 'helium'}",b3e0e1c911c7,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,1.0,irradiation_swelling,Tests were performed at $3 5 0 \textdegree C$ in both air and iodine environments on specimens previously irradiated at $3 2 7 \%$ in a helium atmosphere to fluences ranging between 1.26 and $\mathbf { 1 . { \dot { 6 } } 0 \times 1 0 ^ { 2 1 } }$ neutrons $( { \bf n } ) / { \bf c m } ^ { 2 }$ $( E > 1 \ \mathbf { M e V } )$,condition,,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,localized ductility test,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': 327, 'medium': None, 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': 1.6e+21, 'time_h': None, 'atmosphere': 'helium'}",35d8857f03d9,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,irradiation,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,irradiated,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,1.0,elastoplastic_model,recrystallized specimens showing the largest plastic strain at maximum load (6 to 10 percent) in air,measurement,,abstract,annealing,plastic strain at maximum load,%,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,plane-strain loading,%,,10.0,6.0
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,recrystallized,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,1.0,elastoplastic_model,stressrelieved specimens showed the largest plastic strain at maximum load (4 to 5 percent) under conditions of plane-stress loading in air,measurement,,abstract,annealing,plastic strain at maximum load,%,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,plane-stress loading,%,,5.0,4.0
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,corrosion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'air', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",7206e5a11b2e,,hardening,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,annealing,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,stress-relieved,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,1.0,corrosion,An iodine environment reduced the load-carrying capacity of the cladding (plane-strain loading) and lowered the strain at maximum load to near the detection limit of the test technique (approximately 1 percent),judgement,,abstract,,strain at maximum load,%,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,plane-strain loading,%,1.0,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,density,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,specific_heat,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,thermal_conductivity,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,elastoplastic_model,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,thermal_expansion,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,irradiation_creep,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
Zircaloy-2,{},"{'temp_C': None, 'medium': 'iodine', 'pressure_MPa': None, 'strain_rate_s-1': None, 'dpa': None, 'fluence': None, 'time_h': None, 'atmosphere': None}",f08b74da8682,,irradiation_swelling,not_mentioned_in_text,not_available,auto_filled_domain_placeholder,abstract,,,,STP633-EB-Zirconium in the Nuclear Industry_3rd Volume_037_chunk1,,,,,,
