文献ID,页码/图表,证据片段,合金名称,样品状态,工艺步骤,测试类型,条件哈希,Zr,Sn,Nb,Fe,Cr,Ni,Cu,Sb,Sc,Ge,O,Al,S,C,H,N,Si,温度(°C),介质,应变率(s-1),压力(MPa),辐照剂量(dpa),通量,时间(h),气氛,密度公式,密度数据,比热容公式,比热容数据,热传导率公式,热传导率数据,弹塑性模型公式,弹塑性模型数据,热膨胀公式,热膨胀数据,辐照蠕变公式,辐照蠕变数据,辐照肿胀公式,辐照肿胀数据,腐蚀公式,腐蚀数据,硬化性能公式,硬化性能数据,额外性质
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Table 2,Chemical composition (wt%) of button arc melted Zr alloys,pure Zr,arc melted button,arc melting,photo-electrochemical measurement,,"{'value': 99.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,"{'value': 220, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 40, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 20, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 680, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,"{'value': 50, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 21, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 28, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""680 ppm"", ""iron_content"": ""220 ppm"", ""purity"": ""99.8 wt%"", ""impurities"": ""Cr: 40 ppm, Ni: <20 ppm, Sn: <30 ppm, Hf: <45 ppm, Cl: 80 ppm, C: <50 ppm, Si: <30 ppm, Mg: <100 ppm, H: 21 ppm, N: 28 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Table 2,Chemical composition (wt%) of button arc melted Zr alloys,Zr-Sn binary alloy,arc melted button,arc melting,photo-electrochemical measurement,,"{'value': 99.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': 220, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 40, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 20, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 680, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,"{'value': 50, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 21, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 28, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""680 ppm"", ""iron_content"": ""220 ppm"", ""purity"": ""99.8 wt% Zr base"", ""impurities"": ""Cr: 40 ppm, Ni: <20 ppm, Sn: <30 ppm, Hf: <45 ppm, Cl: 80 ppm, C: <50 ppm, Si: <30 ppm, Mg: <100 ppm, H: 21 ppm, N: 28 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Table 2,Chemical composition (wt%) of button arc melted Zr alloys,Zr-Sn-Fe ternary alloy,arc melted button,arc melting,photo-electrochemical measurement,,"{'value': 99.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': 40, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 20, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 680, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,"{'value': 50, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 21, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 28, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""680 ppm"", ""iron_content"": ""220 ppm"", ""purity"": ""99.8 wt% Zr base"", ""impurities"": ""Cr: 40 ppm, Ni: <20 ppm, Sn: <30 ppm, Hf: <45 ppm, Cl: 80 ppm, C: <50 ppm, Si: <30 ppm, Mg: <100 ppm, H: 21 ppm, N: 28 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Table 2,Chemical composition (wt%) of button arc melted Zr alloys,Zr-Sn-Cr ternary alloy,arc melted button,arc melting,photo-electrochemical measurement,,"{'value': 99.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': 220, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': 20, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,"{'value': 680, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,"{'value': 50, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 21, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 28, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""680 ppm"", ""iron_content"": ""220 ppm"", ""purity"": ""99.8 wt% Zr base"", ""impurities"": ""Cr: 40 ppm, Ni: <20 ppm, Sn: <30 ppm, Hf: <45 ppm, Cl: 80 ppm, C: <50 ppm, Si: <30 ppm, Mg: <100 ppm, H: 21 ppm, N: 28 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Table 2,Chemical composition (wt%) of button arc melted Zr alloys,Zr-Sn-Ni ternary alloy,arc melted button,arc melting,photo-electrochemical measurement,,"{'value': 99.8, 'unit': 'wt%', 'raw_unit': 'wt%'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': 220, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 40, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,"{'value': 680, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,"{'value': 50, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 21, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 28, 'unit': 'ppm', 'raw_unit': 'ppm'}","{'value': 30, 'unit': 'ppm', 'raw_unit': 'ppm'}",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxygen_content"": ""680 ppm"", ""iron_content"": ""220 ppm"", ""purity"": ""99.8 wt% Zr base"", ""impurities"": ""Cr: 40 ppm, Ni: <20 ppm, Sn: <30 ppm, Hf: <45 ppm, Cl: 80 ppm, C: <50 ppm, Si: <30 ppm, Mg: <100 ppm, H: 21 ppm, N: 28 ppm""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk1,Experimental Procedure,"Sequence A: hot-rolled at 700°C to 4 mm thickness, annealed at 700°C in vacuum atmosphere, and β-quenched",various Zr alloys,10 mm thick plates,"Sequence A: hot-rolling, annealing, β-quenching",photo-electrochemical measurement,,"{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,"{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': None, 'unit': 'wt%', 'raw_unit': None}","{'value': None, 'unit': 'wt%', 'raw_unit': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""hot_rolling_temperature"": ""700°C"", ""final_thickness"": ""4 mm"", ""annealing_temperature"": ""700°C"", ""annealing_atmosphere"": ""vacuum"", ""β_quenching_temperature"": ""1000°C"", ""β_quenching_time"": ""10 min"", ""cooling_method"": ""water quenching""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk4,Fig. 16,"Raman spectra of oxides formed on Zr-Sn and Zr-Sn-X (X: Fe, Cr, or Ni) alloys in 500% steam are shown in Fig. 16.",Zr-Sn,oxidized,,Raman spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_phase"": ""monoclinic ZrO₂"", ""crystal_structure"": ""single phase monoclinic""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk4,Fig. 16,"Raman spectra of oxides formed on Zr-Sn and Zr-Sn-X (X: Fe, Cr, or Ni) alloys in 500% steam are shown in Fig. 16.",Zr-Sn-Fe,oxidized,,Raman spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_phase"": ""tetragonal and cubic ZrO₂"", ""peaks"": ""261 cm⁻¹, 148 cm⁻¹, 625 cm⁻¹"", ""crystal_structure"": ""tetragonal and cubic phases detected""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk4,Fig. 16,"Raman spectra of oxides formed on Zr-Sn and Zr-Sn-X (X: Fe, Cr, or Ni) alloys in 500% steam are shown in Fig. 16.",Zr-Sn-Cr,oxidized,,Raman spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_phase"": ""tetragonal ZrO₂"", ""peaks"": ""261 cm⁻¹, 148 cm⁻¹"", ""crystal_structure"": ""tetragonal phase""}"
STP1132-EB-Zirconium in the Nuclear Industry_9th Volume_029_chunk4,Fig. 16,"Raman spectra of oxides formed on Zr-Sn and Zr-Sn-X (X: Fe, Cr, or Ni) alloys in 500% steam are shown in Fig. 16.",Zr-Sn-Ni,oxidized,,Raman spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""oxide_phase"": ""tetragonal ZrO₂"", ""peaks"": ""261 cm⁻¹, 148 cm⁻¹"", ""crystal_structure"": ""tetragonal phase""}"
